,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
258,-477.06592,51.048534,-7.244908,13.806248,-5.2052245,6.942035,-12.970222,-10.69264,-12.61462,-0.57781965,-2.3034422,-7.864702,-3.3781877,-0.95244837,-7.9900227,1.961512,-6.8615203,-2.657987,-4.1781726,-1.5772462,-7.480678,3.378914,-3.0138242,4.6047173,2.9009268,8.679179,0.80909973,8.198505,0.5645994,7.9492297,5.700105,6.223998,4.2350483,6.5766277,2.0927532,6.103628,1.0460587,2.6768758,1.43001,2.908752,happy
376,-565.20886,74.39699,-5.477178,17.067524,4.933731,4.3995457,5.9730115,-4.078777,-10.30135,5.2351007,-2.0248673,-1.973682,4.569881,-0.31056827,-2.071711,2.0633533,-0.49055162,0.50403255,-2.5946517,0.51069057,-6.2161694,2.2727482,-3.580103,2.2924256,-2.6348865,3.2593834,-0.9956356,3.590389,-3.5547035,-0.7297138,-3.154064,0.082607895,-2.001087,0.7016038,-2.6704247,-0.5272542,0.63265175,1.0936853,-1.6292762,-1.1386575,sad
350,-595.0553,75.077286,-4.8663588,17.930153,13.674709,1.0196352,-0.8201781,0.5595683,-4.474158,2.1315935,-1.8193922,4.9159994,0.49869356,2.0328307,1.0751218,2.502359,-1.7595671,-0.4262757,-0.1383124,1.8957858,-2.8975754,1.9379424,-2.633338,2.410934,-4.6357284,3.0251536,-4.79916,2.5795662,-2.3916447,3.089164,-0.29001933,1.0833503,-0.65789825,0.022345727,-1.6466204,0.34652558,-1.5919261,-0.13230047,-1.7803955,-1.2553606,sad
726,-627.38666,58.060387,-0.01641733,13.981421,4.5549746,-6.491162,-14.286544,-7.6401634,-11.833196,-4.6695766,-6.1475415,-2.200108,-2.5544455,-5.6899858,-3.2275178,0.020007288,-9.758756,2.4668338,-4.196854,-0.18974227,-10.191848,-1.785293,-4.9900684,-3.6551826,-3.5410833,0.1371189,-2.3022196,-0.04754257,-1.7321699,-0.87354755,-5.4726725,1.074973,-1.5053457,4.809567,5.128917,7.5049195,5.0071836,6.824345,6.9152646,10.461822,fear
358,-615.2052,53.201157,-2.140714,12.168737,4.827945,3.0256202,-3.482895,-5.247891,-8.961682,-4.882364,-2.016985,-3.7773144,-5.383359,1.4856294,-5.770429,1.4377218,-7.0932703,-1.2465389,-3.5285308,0.74038744,-5.699048,-1.1012676,-4.2837706,-0.20171967,-6.5623775,-1.1165986,-5.2978997,-2.229054,-2.5820272,0.101162255,-2.3912656,0.75326383,-3.6176238,-1.9485092,-5.4901714,-0.9377789,-3.9369621,-1.0268399,-1.6787871,-1.050209,sad
209,-395.3378,14.114097,-27.895672,-7.245628,-9.623284,-8.9656515,-8.4218645,-6.869092,-15.52903,-0.90264004,-9.89895,-3.6703413,1.0555695,12.742823,12.658006,13.564553,3.90688,2.4568403,-1.6512085,2.739833,-0.28362733,-4.1014075,-8.656134,1.2196985,-0.9710501,4.2886176,0.30535522,4.33245,2.5696936,1.6824056,-3.5442946,1.5053138,0.23246016,-0.49503353,-0.5894916,0.13932459,0.24500981,1.5153936,1.8332812,0.56984824,happy
847,-428.77448,27.495565,-21.085546,4.677914,-8.425497,-7.9375343,1.3455049,-15.489422,-8.073547,2.56944,-7.587171,0.24693319,-4.9384193,6.0662217,-2.2921007,4.3121424,3.6642957,16.961441,17.91481,25.514986,14.868598,9.616479,0.43031526,4.8687615,0.92172366,4.328385,-1.8594418,2.2582843,-0.5087819,5.1775675,-2.354255,0.6839891,0.00801916,5.3003545,4.2934875,4.544307,3.8573039,6.431925,3.8598073,2.6214104,fear
472,-513.6182,62.600616,-17.462112,13.58158,5.397222,3.4690344,-3.9679286,-12.334271,-15.117566,8.4488535,-2.366792,-5.126932,5.365598,0.08155123,-3.9114096,7.0138,-3.1499598,-2.4051907,-2.9632003,0.83641815,-4.5929437,3.9147692,-5.6212783,3.7530494,-0.28994727,1.54379,-0.70845044,3.8584802,-4.1154304,0.23166077,-2.5591245,1.0057474,-0.6437535,0.49469292,-3.0153718,-0.037288148,1.0762061,1.1779158,0.07587754,0.5960481,sad
90,-678.0535,73.74914,10.596721,26.0171,5.8897204,11.113879,-2.6708684,-6.7374287,-11.680435,1.9734658,-1.4187859,-4.5173965,3.2732465,1.7410545,-6.138419,8.858177,-2.0647364,-2.961944,4.354615,2.2032602,-6.4837723,2.2874482,-4.8381524,-2.7400718,-1.8048522,0.58780265,-2.708458,1.2162348,-1.173068,1.2870903,-1.5626466,-1.1310513,-1.4223074,1.3443364,-0.69745743,-0.07812142,-3.810606,-3.546266,-3.4703624,0.032056414,neutral
618,-326.9269,39.582558,-42.380207,3.9968302,-22.708826,-11.5618305,-11.342802,-0.65109944,-16.620167,-2.756261,3.632928,-9.916609,-2.6715527,-1.7528408,-11.2048855,-1.4222565,-3.1928134,-2.470876,5.503815,9.698595,4.8435335,14.4044075,6.213526,4.0742416,-0.9497942,8.99478,-2.5440018,8.718356,-0.8827225,2.9535062,2.1793265,3.8790545,0.116818026,3.2325668,-2.2264512,4.5176578,1.1894381,1.9840324,0.6676995,6.321543,angry
227,-456.04996,43.744446,-23.358267,7.0598073,-0.39990926,-10.402565,-3.1675878,-3.0323102,-8.903948,5.9711094,-6.412938,5.111455,-6.436156,-1.3286045,0.7024203,-2.2134368,-0.16000113,10.959078,5.2910714,15.625064,10.90252,10.930022,4.2602935,8.763053,0.26973087,7.3494196,2.6164312,6.8015103,4.318122,4.0658283,3.5460734,5.4149814,4.0492854,5.7855654,2.9269307,5.22012,4.15349,3.447106,2.3072524,3.0758684,happy
486,-483.3677,59.314545,-12.467374,19.16564,4.93522,-6.4016366,-2.0379615,-9.425646,-8.000687,7.2541714,-3.698146,-1.5504856,6.582029,-1.1827605,-5.9124894,8.196905,-11.160212,2.9410973,-3.886283,-0.7333345,-5.6613517,2.4680548,-6.0366554,3.4325635,-4.344324,5.1009116,-3.3338056,5.118804,-1.370897,0.62766415,0.20812938,1.8920747,-0.7683476,6.4829874,6.637097,10.144313,3.242413,5.070969,1.0622668,6.520233,angry
80,-726.37946,85.33409,13.39528,26.212328,11.993316,6.064877,-0.4485972,-3.1382682,-1.7769378,3.3901374,-7.5929346,4.9793353,-1.1937232,2.5589545,0.16425347,1.6185607,0.27957314,1.0021354,-5.4193482,5.387361,-2.7022471,-1.2102121,-6.52192,0.57207173,-3.320694,-0.49369785,-3.5432973,-1.4322011,-2.227198,-0.75131565,-3.8420348,-0.11665118,-2.5848575,-1.4715564,-2.3795407,-0.040897008,-2.8932865,-1.6572154,-3.1284971,-1.0599364,neutral
750,-618.62726,52.21429,1.328368,9.1315,-0.37838086,-8.902406,-15.800616,-13.961822,-11.692777,-6.6936116,-11.860555,-1.9082847,-6.422619,-4.616724,-6.7336864,-3.7355895,-9.764512,-2.259142,-8.874977,-3.6973565,-13.828202,-3.1209881,-6.6006794,-5.9567103,-7.401221,-1.981517,-7.1250596,-2.6593897,-4.802477,-3.410986,-5.0433164,2.2365334,-1.1537691,4.2709703,3.3306162,5.37152,2.4075065,5.736424,5.910154,7.7093472,fear
17,-722.0415,66.33709,4.69698,14.34572,-1.9667495,-3.8014941,-4.5040665,-13.88002,-10.456037,0.33277574,-3.666857,-4.3271613,-8.837739,4.997982,-6.989212,-5.4155116,-7.045293,-0.98415595,-6.573085,-5.4147015,-4.7782173,-0.70345,-9.136856,-0.7377217,-5.0727177,-3.3761065,-5.9408474,0.1189827,-5.306968,-0.48598403,-4.6206994,-0.7992213,-5.2571545,-0.8941591,-2.4800289,2.3171334,3.755453,9.797851,11.506788,13.256014,neutral
97,-559.33386,51.495804,-26.026556,11.311838,-9.877488,-5.7181516,-6.2999897,-13.2216,-6.3739834,-2.4107785,-7.581331,-1.8010534,-11.127895,0.17352767,-7.6039276,-3.361099,-4.0968437,-0.902774,-4.4804683,1.7848397,-2.8953767,-2.4763958,-1.9546306,-0.5945758,-0.25701198,-0.46843162,0.002144771,2.3671901,2.2157972,2.9691548,-2.6744845,1.1117725,2.11518,5.3239646,2.248055,0.6576407,-3.2102945,2.0442429,0.93920934,0.98226815,happy
276,-519.6313,49.184547,-10.5980215,2.2390285,-9.875955,2.7470293,-18.352257,-6.246441,-11.703758,-4.072346,-2.7596328,-6.3120394,-4.452703,-1.7037108,-10.247582,1.827642,-11.134083,-0.59047025,-1.3455051,-4.486843,-6.0849934,-0.23829633,-4.583668,-0.5465505,-3.990786,2.9123788,-0.5049852,5.033944,5.6210175,8.660857,6.76937,6.033372,1.0789238,0.94997156,0.52246916,3.1173456,1.6709838,1.3660061,-1.378415,1.1668161,happy
115,-544.4635,41.8271,-19.32218,6.518444,-11.443566,-12.663434,-9.910963,-16.68625,-13.178069,-3.7718976,-13.550523,-0.033941023,-12.983824,-0.83469486,-7.798408,-5.9596934,-4.152822,-2.2700443,-4.7461553,-1.0411209,1.2677774,1.6854427,-1.5441805,1.9415258,0.858996,3.5501642,1.1752664,2.1883693,-2.589207,2.2191865,-0.00047255654,2.0670505,0.7403051,1.2216234,-3.0739963,-0.71949387,-1.6449509,0.86878705,-0.95479715,0.5534191,happy
405,-602.2892,57.975143,-13.582257,3.0671256,0.016299002,-5.827406,-14.071789,-9.346048,-17.82199,0.09542803,-7.0005846,-8.203767,-3.7670684,-2.8392062,-1.0467693,-4.5380454,-9.755992,-1.0744945,-7.9554224,-2.371853,-6.9532833,-1.3621227,-7.731356,0.3316391,-6.272327,0.520458,-3.705883,2.3386567,1.9375755,6.9480114,3.544591,5.663404,3.0584621,5.2853703,5.8734403,9.353204,8.637875,8.2267685,0.16847555,0.25628325,sad
128,-635.7581,89.61886,-1.4958645,18.311466,19.10416,0.41430408,-7.6548095,-4.553288,-5.6366763,4.047176,-4.893589,-1.8466506,-3.5540507,3.8563662,-3.4532993,1.4473393,-0.71317494,0.83107775,-6.79858,4.1372623,-4.3493433,-1.4262099,-4.7041163,0.2748452,-3.2610483,0.8982277,-2.9367151,-0.14830868,-0.89788914,-0.55810744,-1.7840725,0.32856795,-2.7692719,-0.7729993,-2.915706,-1.0029925,-1.3073959,-0.28149542,-3.4950087,-1.134258,happy
